Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-04-27,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,Week 18 - RECOVERY
Monday,2026-04-27,06:00,Strength,PUSH + CORE,25,PUSH + CORE light,Light,Barbell dumbbells bench,Toast + honey + coffee,Protein shake + banana,
Tuesday,2026-04-28,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-04-28,06:00,Run,Easy Run,40,6km easy,Zone 1-2,Running shoes,Toast + honey + coffee,Full breakfast,
Wednesday,2026-04-29,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-04-29,-,Rest,Active Recovery,0,Active recovery,Recovery,N/A,Normal meals,Normal meals,
Thursday,2026-04-30,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-04-30,06:00,Bike,Easy Endurance,70,Easy endurance,Zone 2,Tacx or road,Toast + honey + coffee,Full breakfast,
Friday,2026-05-01,05:30,Mobility,Morning Espresso,20,Extended version,Easy,Mat roller,Coffee,N/A,
Friday,2026-05-01,06:00,Strength,LEGS,25,LEGS light,Light,Barbell dumbbells bench,Toast + honey + coffee,Full breakfast,
Saturday,2026-05-02,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Saturday,2026-05-02,07:00,Run,Easy Run,50,8km easy,Zone 2,Running shoes,Full breakfast 2h before,Recovery meal,
Sunday,2026-05-03,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Sunday,2026-05-03,07:00,Bike,Easy Endurance,80,Easy endurance + brick,Zone 1-2,Tacx or road,Full breakfast 2h before,Recovery meal,
Sunday,2026-05-03,After bike,Run,Easy Run,35,7km easy,Zone 1-2,Running shoes,N/A,Recovery meal,

WEEKLY TOTALS:
Swim: 0 km
Bike: ~70 km
Run: 21 km
Strength: 2 sessions
Mobility: 7 sessions
Total Training: ~6.9 hours

WEEK FOCUS: Recovery week. Reduced volume and intensity to absorb training.
